Agent Name,Date,Name,Number,Adress,e-mail ID,Product,product price,No of product,Remarks,sales channel
Roopa,2025-04-08,Hrishita Kata,9657869282,Punjab,abrambalakrishnan@yahoo.com,Product 5,999,4,Yet to Purchase,Online
Roopa,2025-03-29,Vaibhav Hayre,8150962494,Kerala,eladasgupta@hotmail.com,Product 2,1499,3,Purchased,Offline
Roopa,2025-04-14,Divij Ravi,3660797744,Kerala,imagar@yahoo.com,Product 3,1999,5,Purchased,Online
Roopa,2025-03-04,Kaira Karnik,4120040882,Delhi,tejasdass@gmail.com,Product 4,2499,3,Not Interested,Offline
Roopa,2025-04-16,Tara Kara,4311943192,Delhi,advik44@gmail.com,Product 3,1999,5,Not Interested,Retail Partner
Roopa,2025-03-19,Nirvi Kumar,0595045989,Gujarat,shamik80@hotmail.com,Product 4,2499,1,Interested,Online
Roopa,2025-02-28,Oorja Edwin,0236937633,Karnataka,ddani@yahoo.com,Product 3,1999,2,Yet to Purchase,Offline
Roopa,2025-03-02,Kiaan Cherian,5014860582,Rajasthan,qseth@savant-dutta.com,Product 1,999,3,Interested,Mobile App
Roopa,2025-02-24,Gokul Bhardwaj,4186610244,Maharashtra,aainawalla@gmail.com,Product 3,1999,5,Not Interested,Mobile App
Roopa,2025-03-15,Amira Sheth,2501532014,Punjab,ranbirsanghvi@yahoo.com,Product 1,999,3,Not Interested,Offline
Roopa,2025-03-12,Kaira Chawla,9469538908,Maharashtra,rashaboase@ramakrishnan.com,Product 4,2499,2,Purchased,Online
Roopa,2025-03-03,Alisha Sem,8861467426,Maharashtra,orajan@gmail.com,Product 1,999,4,Yet to Purchase,Mobile App
Roopa,2025-02-24,Hunar Raval,4010985723,Kerala,farhan20@ahuja-kaur.com,Product 2,1499,2,Not Interested,Mobile App
Roopa,2025-04-14,Zaina Raj,0320681689,Kerala,hiranchowdhury@krishnan-sridhar.net,Product 2,1499,1,Purchased,Mobile App
Roopa,2025-04-14,Vritika Dalal,4348300329,Maharashtra,kimaya52@ghose.com,Product 4,2499,2,Interested,Offline
Roopa,2025-03-19,Trisha Bava,0552064864,Maharashtra,inaaya-dara@dubey.com,Product 1,999,1,Not Interested,Offline
Roopa,2025-04-19,Sana Jha,4699998691,Delhi,keyasanghvi@yahoo.com,Product 4,2499,1,Yet to Purchase,Offline
Roopa,2025-02-25,Anika Balakrishnan,5503809790,Delhi,damini24@chaudhuri-chaudhary.com,Product 1,999,4,Interested,Mobile App
Roopa,2025-04-10,Neelofar Chopra,9956715619,Karnataka,akarsh38@raj.com,Product 5,999,5,Yet to Purchase,Offline
Roopa,2025-03-22,Mohanlal Lad,6138710547,Rajasthan,dassamani@hotmail.com,Product 2,1499,4,Purchased,Online
Roopa,2025-04-16,Dharmajan Kalita,1422123245,Delhi,jayant53@krishnan.com,Product 1,999,4,Yet to Purchase,Mobile App
Roopa,2025-04-03,Jiya Kapur,9890904670,Karnataka,ehsaanmani@thakkar.com,Product 2,1499,3,Purchased,Retail Partner
Roopa,2025-04-03,Shanaya Bath,7302955945,Delhi,ryan94@gmail.com,Product 2,1499,3,Interested,Offline
Roopa,2025-04-06,Khushi Balay,6928862571,Andhra Pradesh,valaromil@dhar.net,Product 2,1499,2,Yet to Purchase,Mobile App
Roopa,2025-03-08,Kiaan Kibe,2585905579,Punjab,mamootyshroff@sandhu.com,Product 3,1999,3,Purchased,Mobile App
Anu,2025-03-22,Shlok Sidhu,5978500926,Delhi,buchaniruddh@gmail.com,Product 3,1999,2,Interested,Online
Anu,2025-04-22,Indrajit Kaul,8556759758,Gujarat,eshanishan@yahoo.com,Product 5,999,4,Purchased,Offline
Anu,2025-03-09,Aarav Rout,5328340036,Rajasthan,usandal@hotmail.com,Product 4,2499,1,Purchased,Retail Partner
Anu,2025-03-14,Darshit Kulkarni,4755166817,Tamil Nadu,lalaishita@yahoo.com,Product 4,2499,5,Yet to Purchase,Offline
Anu,2025-03-21,Kanav Comar,2207508634,Gujarat,armaankuruvilla@dhawan-chaudry.biz,Product 1,999,3,Interested,Online
Anu,2025-04-16,Samaira Basu,7252115657,Kerala,nitara06@venkatesh.com,Product 5,999,4,Purchased,Mobile App
Anu,2025-04-02,Vaibhav Brahmbhatt,1839727434,Rajasthan,rheahayer@khatri.com,Product 4,2499,5,Interested,Retail Partner
Anu,2025-02-24,Uthkarsh Bobal,1370007101,Rajasthan,vaibhavlanka@swamy.com,Product 3,1999,5,Purchased,Online
Anu,2025-04-22,Romil Rajan,5339369959,Delhi,amanigrewal@gmail.com,Product 4,2499,2,Not Interested,Offline
Anu,2025-03-02,Abram Batra,6025631775,Delhi,vanyakibe@vasa-mangal.net,Product 3,1999,2,Yet to Purchase,Mobile App
Anu,2025-03-31,Dhanuk Kota,9618788666,Gujarat,reddyvidur@garg-ratta.org,Product 5,999,4,Interested,Offline
Anu,2025-03-11,Lavanya Korpal,3955832288,Andhra Pradesh,chandsara@yahoo.com,Product 1,999,3,Not Interested,Mobile App
Anu,2025-04-01,Priyansh Bhagat,5691894022,Punjab,nirvi87@thakkar-shankar.org,Product 2,1499,2,Interested,Online
Anu,2025-02-25,Kiaan Sami,5809546437,West Bengal,chandermehul@gandhi.com,Product 4,2499,1,Purchased,Online
Anu,2025-04-12,Divit Tak,2628225992,Gujarat,bhamini66@sathe-garde.com,Product 3,1999,2,Purchased,Retail Partner
Anu,2025-04-05,Vedika Rastogi,8570624603,West Bengal,samihasabharwal@sarin.info,Product 4,2499,2,Yet to Purchase,Online
Anu,2025-04-06,Nitya Goswami,3786026922,Karnataka,jayeshkorpal@hotmail.com,Product 4,2499,2,Yet to Purchase,Mobile App
Anu,2025-04-12,Charvi Dayal,9669876686,Kerala,urvireddy@mann.com,Product 3,1999,3,Not Interested,Online
Anu,2025-03-07,Vivaan Sangha,1114981962,Punjab,traval@gera.com,Product 5,999,1,Interested,Mobile App
Anu,2025-04-02,Yashvi Sagar,5047275765,Rajasthan,contractorbhavin@shankar.org,Product 5,999,1,Purchased,Retail Partner
Anu,2025-04-06,Bhavin Lata,4139265366,Gujarat,kartik58@chakraborty.info,Product 4,2499,1,Not Interested,Retail Partner
Anu,2025-04-22,Miraya Gulati,1829553264,Maharashtra,kismatcomar@gmail.com,Product 5,999,1,Purchased,Mobile App
Anu,2025-03-31,Gokul Datta,5621622218,Andhra Pradesh,mamooty07@banerjee-mann.com,Product 5,999,2,Yet to Purchase,Offline
Anu,2025-04-12,Himmat Dua,2957793065,Karnataka,soodnehmat@bal.com,Product 3,1999,2,Not Interested,Retail Partner
Anu,2025-03-30,Manjari Sem,9999972239,Andhra Pradesh,chauhankhushi@goel.info,Product 1,999,1,Interested,Mobile App
Vanditha,2025-03-29,Diya Raja,7754523345,Maharashtra,suhana70@bhargava.com,Product 4,2499,5,Purchased,Mobile App
Vanditha,2025-04-11,Nakul Biswas,2354110074,Punjab,hcheema@yahoo.com,Product 4,2499,5,Interested,Mobile App
